id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne
165,1,Cadmium,Cadmium,Cadmio,Cadmium,1.0
209,1,Anorganische Arsen,Arsenic inorganique,Arsenico inorganica,Inorganic arsenic,1.0
210,1,Jod,Iode,Iodo,Iodine,1.0
102,1,Blei,Plomb,Piombo,Lead,1.0
167,1,Quecksilber,Mercure,Mercurio,Mercury,1.0
211,1,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,1.0
212,1,Kainsäure,Acide kaïnique,Acido kainico,Kainic acid,1.0
142,1,Isoflavone,Isoflavone,Isoflavone,Isoflavones,1.0
204,1,Streptomycin,Streptomycine,Streptomicina,Streptomycin,1.0
297,1,Gluten,gluten,glutine,gluten,1.0
