id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne
91,4,Pestizide,pesticides,pesticidi,pesticide,2.0
93,3,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.5
66,2,Canabidiol (CBD),Canabidiol (CBD),Canabidiolo (CBD),Canabidiol (CBD),1.0
103,2,GMO (genetisch modifizierter Organismus),OGM (organisme génétiquement modifié),OGM (organismo geneticamente modificato),Genetically modified organism (GMO),2.0
196,1,Grayanotoxine,Grayanotoxine,Graianotossina,Grayanotoxin,1.0
128,1,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.0
58,1,Melatonin,Mélatonine,Melatonina,Melatonin,1.0
281,1,Ethylendioxid,dioxyde d'éthylène,Ossido di etilene,ethylene dioxide,1.0
280,1,Ethylendichlord,dichlorure d'éthylène,cloruro di etilene,ethylene dichloride,1.0
247,1,Calciumcarbid,Carbure de calcium,Carburo di calcio,Calcium carbide,2.0
1,1,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,3.0
185,1,Mineralöl,Huile minérale,Olio minerale,Mineral oil,2.0
230,1,Nitrate,Nitrate,Nitrato,Nitrate,2.0
197,1,Nitrite,Nitrite,Nitrito,Nitrite,2.0
45,1,Aspartam,Aspartam,Aspartam,Aspartam,2.0
290,1,Saccharin,Saccharine,Saccarina,Saccharin,2.0
73,1,Tierarzneimittel,Produits pharmaceutiques vétérinaires,Farmaci veterinari,Veterinary pharmaceuticals,2.0
63,1,Antibiotika,antibiotiques,antibiotici,antibiotics,2.0
126,1,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),
