gefahr_id,Microbiologie,Chimie,Fraude / Tromperie,Nutrition,Allergie
1,24,1,1,0,0
2,5,0,0,0,0
3,1,0,0,0,0
4,4,0,0,0,0
6,1,0,0,0,0
7,2,0,0,0,0
8,2,0,0,0,0
9,7,0,0,0,0
10,4,0,0,0,0
18,1,0,0,0,0
19,24,0,0,0,0
20,6,0,0,0,0
23,1,0,0,0,1
25,1,0,0,0,0
26,33,2,0,0,0
28,3,0,0,0,0
35,9,0,0,0,0
36,4,0,0,0,0
40,1,0,0,0,0
43,0,1,0,0,0
45,0,3,1,5,0
46,0,1,0,0,0
48,3,3,0,0,0
51,0,0,0,2,0
55,1,1,0,1,1
58,0,1,1,0,0
62,1,2,0,1,0
63,19,9,1,1,0
66,0,5,2,2,0
67,0,1,0,0,0
68,0,1,0,0,0
69,0,2,0,0,0
73,0,2,1,0,0
76,1,0,0,0,0
78,0,0,0,0,1
79,0,0,0,2,0
85,1,0,0,0,0
86,13,0,0,0,0
87,5,0,0,0,0
88,3,0,0,0,0
89,5,0,0,0,0
90,17,0,0,1,0
91,2,23,4,3,0
92,0,0,0,3,0
93,39,1,3,0,0
94,6,0,0,0,0
95,1,0,0,0,0
96,0,1,0,0,0
97,2,0,0,0,0
98,0,2,0,0,0
99,15,0,0,0,0
100,1,0,0,0,0
101,3,0,0,0,0
102,1,16,0,3,1
103,2,1,2,1,0
105,2,0,0,0,0
106,10,0,0,1,0
107,2,0,0,0,0
108,0,1,0,1,0
109,1,8,0,0,0
111,11,14,0,0,0
112,1,0,0,0,0
113,0,1,0,0,0
114,1,0,0,0,0
115,0,1,0,0,0
118,0,1,0,0,0
119,9,1,0,0,0
120,2,0,0,0,0
121,4,0,0,0,0
122,0,0,0,2,0
123,5,0,0,0,0
124,0,1,0,0,0
125,3,19,0,3,0
126,0,45,1,5,2
127,0,6,0,1,0
128,0,15,1,4,0
129,3,0,0,0,0
130,0,2,0,0,0
136,1,0,0,0,0
140,1,0,0,0,0
142,0,2,0,1,1
143,1,2,0,0,0
144,1,1,0,0,0
145,0,0,0,1,0
146,2,0,0,0,0
148,0,4,0,0,0
150,1,5,0,0,0
153,2,0,0,0,0
156,2,1,0,0,0
160,2,0,0,0,0
162,1,0,0,0,0
165,1,16,0,4,1
166,0,10,0,1,0
167,1,9,0,4,1
174,1,3,0,1,0
176,1,0,0,0,0
177,1,0,0,0,0
178,1,1,0,0,0
180,0,5,0,1,0
181,2,0,0,0,0
183,1,0,0,0,0
184,1,0,0,0,0
185,0,3,1,0,0
186,2,1,0,0,0
187,1,11,0,4,0
188,0,2,0,0,0
189,1,1,0,0,0
190,1,0,0,0,0
191,0,1,0,0,0
192,0,1,0,0,1
193,3,0,0,0,0
194,1,0,0,0,0
195,4,0,0,0,0
