matrix_id,Mikrobiologie,Chemie,Betrug / Täuschung,Ernährung,Allergie
1,27,38,6,38,5
2,1,0,0,0,0
3,23,6,1,3,0
5,2,4,2,2,1
6,7,2,0,0,1
7,3,6,0,1,0
8,12,6,2,7,1
9,7,5,3,0,0
10,0,3,0,1,0
11,0,0,1,1,0
12,0,2,1,2,0
14,0,1,1,1,0
15,0,0,1,0,0
16,2,3,1,2,0
18,2,1,0,1,0
20,1,0,0,1,1
21,3,1,0,1,0
22,7,1,0,1,0
23,11,7,0,0,0
24,7,3,0,1,0
26,1,1,0,0,0
27,3,3,1,1,0
28,1,2,1,1,0
29,4,0,0,0,0
30,5,1,0,0,0
32,1,2,1,1,3
33,1,0,0,0,1
34,13,8,1,3,1
35,0,2,0,0,1
37,0,2,0,0,0
38,1,0,0,0,0
39,5,3,1,10,4
42,6,1,0,0,0
43,0,0,0,1,0
45,2,1,1,1,0
46,0,1,0,1,0
47,2,2,0,0,0
48,1,5,1,1,0
50,0,2,0,0,0
52,4,0,2,2,0
54,16,0,0,1,0
55,2,1,0,0,0
56,3,3,1,2,0
58,15,5,0,9,2
59,6,1,0,0,0
60,6,12,5,2,1
61,6,2,1,0,1
62,2,0,1,1,2
65,1,8,2,1,2
67,1,2,7,3,0
68,0,1,0,0,0
72,0,0,1,0,0
78,1,0,0,0,0
79,0,2,0,1,0
80,0,6,1,8,1
81,0,1,0,0,0
82,6,15,0,1,0
86,2,1,0,0,0
87,0,0,1,0,0
93,2,3,3,0,0
98,0,0,0,1,1
99,0,2,0,1,1
100,1,0,0,4,2
104,1,1,1,2,0
106,1,0,0,0,0
114,0,1,1,1,1
115,1,1,1,0,1
117,3,0,0,0,0
118,1,0,2,0,0
120,7,1,1,0,0
121,1,0,0,0,0
123,1,0,0,0,0
125,0,1,1,0,0
126,4,0,0,0,0
131,0,0,0,2,0
132,0,1,1,1,0
133,0,5,5,0,0
135,0,1,1,1,0
137,0,1,0,0,0
138,0,1,0,0,0
142,0,1,0,0,0
143,0,2,0,0,0
144,1,2,1,0,0
145,0,1,0,0,0
146,0,0,1,0,1
148,0,1,1,0,0
150,1,2,0,0,0
151,1,0,0,0,0
155,2,3,0,3,0
156,0,1,0,2,0
157,0,1,2,3,0
