id,count,bezeichnung_de,mean_sterne
126,45,Per- und polyfluorierte Alkylverbindungen (PFAS),1.59
93,40,Salmonella spp.,1.4
26,33,Listeria monocytogenes,1.61
19,24,STEC/VTEC,1.73
91,24,Pestizide,1.26
1,24,Escherichia coli,1.75
125,21,Mikroplastik,1.75
63,20,Antibiotika,1.84
111,19,Mykotoxine,1.37
90,17,Clostridium botulinum,1.5
102,16,Blei,1.19
165,16,Cadmium,1.38
128,15,Schwermetalle,1.23
99,15,Vibrio spp.,1.57
86,13,Campylobacter spp.,1.92
244,13,Antibiotikaresistenzen,1.27
187,11,Arsen,1.36
166,10,Bisphenol A (BPA),1.89
106,10,Bacillus cereus (sensu lato),1.33
167,9,Quecksilber,1.11
35,9,Cryptosporidium spp.,1.88
119,9,Norovirus,1.44
109,8,Nanopartikeln,1.14
9,7,Staphylococcus aureus,1.33
197,7,Nitrite,1.71
94,6,Salmonella Typhimurium,1.0
127,6,Perfluoroctansulfonsäure (PFOS),2.0
20,6,EHEC,2.17
2,5,Hepatitis E Virus (HEV),2.0
45,5,Aspartam,1.6
87,5,Campylobacter jejuni,1.4
246,5,Acrylamid,1.67
230,5,Nitrate,1.4
48,5,marine Biotoxine,1.75
261,5,Pseudomonas,1.6
66,5,Canabidiol (CBD),1.4
150,5,Glyphosat,1.4
89,5,Cronobacter sakazakii,1.4
180,5,Phthalate,1.6
123,5,Salmonella Infantis,1.25
195,4,Escherichia coli (ExPEC),2.25
174,4,Fungizid,1.5
148,4,Radioaktivität,1.33
10,4,Toxoplasma gondii,1.75
121,4,Hepatitis A virus,1.5
238,4,Vibrio parahaemolyticus,1.25
202,4,Antibiotikaresistente Milchsäurebakterien,2.0
4,4,Bacillus cytotoxicus,1.67
298,4,Deoxynivalenol (DON),1.5
36,4,Giardia spp.,2.67
284,3,MOSH,1.0
306,3,Furan,2.0
129,3,Affenpocken-Virus (MPXV),2.0
193,3,Salmonella Agona,2.0
101,3,Brucella spp.,2.0
185,3,Mineralöl,1.33
92,3,Fettleibigkeit,1.0
28,3,Clostridioides difficile,1.33
200,3,6-PPD,3.0
273,3,Koffein,1.33
88,3,Campylobacter coli,1.33
103,3,GMO (genetisch modifizierter Organismus),1.67
256,3,Parasiten,1.33
79,2,Zucker,1.0
73,2,Tierarzneimittel,2.0
293,2,Bromierte Flammschutzmittel (BFR),1.5
300,2,Vibrio vulnificus,1.0
8,2,Sapovirus,1.5
7,2,Cyclospora spp.,1.0
55,2,6-PPD-Chinon,3.0
146,2,Salmonella Thompson,3.0
234,2,Sucralose,1.0
186,2,Biogene Amine,1.5
120,2,Rotavirus,1.5
181,2,hochpathogene Aviären Influenza (HPAI),1.0
122,2,Diabetes,1.5
69,2,Tetrahydrocannabinol (THC),2.0
130,2,Bisphenol S,1.0
107,2,Clostridium perfringens,1.0
156,2,Listeria innocua,2.5
143,2,Menschliche Arzneimittelrückstände,1.5
51,2,Vitamin D,1.5
287,2,Salmonella Infantis,
203,2,Ochratoxin A (OTA),2.0
160,2,Nipah Virus,1.0
153,2,Hepatitis,1.5
243,2,Carboxymethylcellulosen (CMC),2.0
226,2,Shigella spp.,1.0
296,2,Providencia spp.,2.0
211,2,Bacillus subtilis,1.5
198,2,Hexamethoxymethylmelamin (HMMM),3.0
209,2,Anorganische Arsen,1.0
269,2,Polybromierte Diphenylether (PBDE),1.5
