steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
8,0,3,0,1,0,2,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0
34,2,2,0,0,0,0,2,0,0,0,0,0
35,0,2,0,0,1,0,0,0,0,0,0,0
36,4,0,0,0,0,0,0,0,0,1,0,0
48,0,0,0,0,0,0,1,0,0,0,0,0
51,0,0,0,0,0,1,0,0,0,0,0,0
54,0,2,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,1,0,0,0,0,0,0,0
63,0,1,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0
72,0,1,0,0,0,0,0,0,0,0,0,0
83,0,2,3,1,0,0,0,0,1,2,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0,0,0,0
93,0,2,0,0,0,3,0,0,0,0,0,0
103,0,1,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,1,0,0,1,1
117,0,1,0,0,0,0,0,0,0,0,0,0
126,0,0,2,0,0,0,0,0,0,0,0,0
128,0,1,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,1,0,0,0,0,0,0
165,1,0,0,0,0,0,0,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,1,0,0,0,0,0
196,0,0,1,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,1,0,0,0,0,0,0
211,0,0,0,0,0,1,0,0,0,0,0,0
212,0,0,0,0,1,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,1,0,0,1,1
216,0,0,0,0,0,2,0,0,0,0,0,0
217,0,1,0,0,0,0,0,0,0,0,0,0
220,0,1,2,0,0,0,0,0,0,1,0,0
224,1,0,0,0,0,0,0,1,0,0,1,1
225,1,0,0,0,0,0,0,1,0,0,1,1
233,0,0,0,0,0,1,0,0,0,0,0,0
234,0,0,1,0,0,0,0,0,0,1,0,0
237,0,0,0,0,0,0,1,0,0,0,0,0
241,0,1,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,2,0,0,0,0,0,0
243,0,0,0,1,0,0,0,0,0,0,0,0
245,0,0,0,0,0,1,0,0,0,0,0,0
250,0,1,0,0,0,0,0,0,0,0,0,0
