matrix_id,Innovations technologiques et progrès scientifiques,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Économie
1,0,1,21,0,0,0
3,1,1,1,0,0,0
5,0,0,1,0,0,0
8,2,2,6,0,1,1
16,0,0,1,0,0,0
27,0,0,1,0,0,0
28,0,1,0,0,0,0
32,0,1,0,0,0,0
34,1,1,0,0,0,0
39,0,1,6,0,0,0
48,0,0,1,0,0,0
56,1,0,0,0,0,0
58,0,2,6,0,0,0
62,0,0,1,0,0,0
65,1,0,0,0,0,0
80,1,0,4,0,0,0
98,0,0,1,0,1,1
99,0,0,1,0,0,0
100,1,0,2,1,0,0
131,0,1,1,0,0,0
157,0,0,1,0,0,0
