matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
3,0,1,0,0,2,0,0,1,0,0
5,0,1,0,1,0,1,0,1,0,0
7,1,0,0,0,0,0,1,0,0,0
8,0,0,1,1,0,0,0,0,0,0
9,1,0,0,0,1,0,0,1,1,0
22,0,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,1,0,0
34,0,0,0,0,1,0,0,0,0,0
35,0,0,0,1,0,1,0,0,0,0
54,0,0,0,0,1,0,0,0,0,0
58,0,1,0,1,0,0,0,0,0,0
59,1,0,0,0,0,1,0,0,1,1
60,0,0,0,0,2,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0,0
100,0,1,0,1,1,0,0,0,0,0
