id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
126,2,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.5,"[1690, 1713]"
125,2,Mikroplastik,microplastiques,microplastica,microplastics,1.0,"[1701, 1702]"
166,1,Bisphenol A (BPA),Bisphénol A (BPA),Bisfenolo A (BPA),Bisphenol A (BPA),1.0,[1698]
130,1,Bisphenol S,Bisphénol S,Bisfenolo S,Bisphenol S,1.0,[1698]
461,1,Ethanol,Éthanol,Etanolo,Ethanol,1.0,[1696]
288,1,T-2,T-2,T-2,T-2,1.0,[1675]
289,1,HT-2,HT-2,HT-2,HT-2,1.0,[1675]
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.0,[1675]
91,1,Pestizide,pesticides,pesticidi,pesticide,1.0,[1675]
127,1,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.0,[1713]
98,1,Organophosphatester,esters d'organophosphate,esteri di organofosfati,organophosphate ester,1.0,[1685]
128,1,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.0,[1703]
109,1,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,1.0,[1703]
