id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
26,4,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.5,"[935, 927, 920, 943]"
93,4,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.25,"[934, 927, 920, 942]"
63,3,Antibiotika,antibiotiques,antibiotici,antibiotics,1.33,"[919, 923, 930]"
244,3,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.33,"[919, 923, 930]"
99,2,Vibrio spp.,Vibrio spp.,Vibrio spp.,Vibrio spp.,1.0,"[940, 903]"
106,2,Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),1.0,"[918, 912]"
119,2,Norovirus,Norovirus,Norovirus,Norovirus,1.5,"[920, 943]"
261,1,Pseudomonas,Pseudomonas,Pseudomonas,Pseudomonas,1.0,[927]
202,1,Antibiotikaresistente Milchsäurebakterien,Bactéries lactiques résistantes aux antibiotiques,Batteri lattici resistenti agli antibiotici,Antibiotic-resistant lactic acid bacteria,1.0,[919]
19,1,STEC/VTEC,STEC/VTEC,STEC/VTEC,STEC/VTEC,2.0,[920]
20,1,EHEC,EHEC,EHEC,EHEC,2.0,[920]
120,1,Rotavirus,Rotavirus,Rotavirus,Rotavirus,2.0,[920]
8,1,Sapovirus,Sapovirus,Sapovirus,Sapovirus,2.0,[920]
1,1,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,2.0,[922]
319,1,Proteus spp.,Proteus spp.,Proteus spp.,Proteus spp.,2.0,[922]
296,1,Providencia spp.,Providencia spp.,Providencia spp.,Providencia spp.,2.0,[922]
320,1,Citrobacter spp.,Citrobacter spp.,Citrobacter spp.,Citrobacter spp.,2.0,[922]
