id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
3,2,Gemüse,Légumes,Ortaggi,Vegetables,2.0,"[923, 922]"
60,2,Fische,Poissons,Pesce,Fish,1.5,"[930, 922]"
54,1,Geflügel,Volailles,Pollame,Poultry,2.0,[923]
22,1,Nicht spezifizierte sowie gemischte Gemüse und Salate,Légumes et salades non spécifiés ou mélangés,Insalate e ortaggi misti non specificati,"Unclassified, Mixed Salad/Vegetables",2.0,[935]
9,1,"Fische, Meeresfrüchte, Amphibien und Reptilien","Poissons, fruits de mer, amphibiens et reptiles","Pesce, crostacei, frutti di mare e anfibi","Fish, Shellfish And Amphibians",1.0,[940]
59,1,"Nicht spezifizierte sowie gemischte Fische, Meeresfrüchte und Amphibien","Poissons, fruits de mer, amphibiens et reptiles non spécifiés ou mélangés","Pesce, crostacei frutti die mare e anfibi non classificati e misti",Unclassified And Combined Fish Products,1.0,[943]
1,1,Nicht spezifiziert,Non spécifié,Non specificato,Unclassified,1.0,[942]
58,1,Fleischersatz,Substituts de viande,Sostituti della carne,Meat Substitutes,1.0,[934]
100,1,Diätprodukte und Sportlernahrung,Produits diététiques et aliments pour sportifs,Prodotti dietetici e alimenti per sportivi,Dietetic Products,1.0,[912]
34,1,Früchte,Fruits,Frutta,Fruits,1.0,[918]
