steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt,Wirtschaft,Politik
11,2,0,0,0,0,2,0,2,0,0
25,0,1,0,0,1,0,0,0,0,0
42,0,1,0,0,1,2,0,0,0,0
104,1,0,0,0,0,0,1,0,1,1
149,0,0,0,0,0,2,0,0,0,0
181,0,0,1,1,0,1,0,0,0,0
215,1,0,0,0,0,0,1,0,1,1
224,1,0,0,0,0,0,1,0,1,1
225,1,0,0,0,0,0,1,0,1,1
232,0,0,0,0,0,1,0,0,0,0
236,0,0,1,1,0,1,0,0,0,0
244,0,0,0,0,0,1,0,0,0,0
249,0,0,0,0,0,1,0,0,0,0
