steckbrief_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,0,0,0,0,0,0,0,2,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,3,0,0,0,0,0
11,5,1,0,0,0,0,0,5,0,0,2,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,1,0,0,0,0,2,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,1,0,2,0,0,0,0,0
33,0,1,0,0,1,0,1,6,0,0,0,0,0
34,2,1,0,0,0,0,1,0,0,0,0,0,0
35,0,1,0,0,0,0,0,0,0,0,0,0,0
36,8,1,1,1,0,1,1,1,0,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0,1,0,0,0,0,1,3,0,0,0,0,0
43,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,0,0,0,4,0,0,0,0,0
51,0,1,0,0,0,1,2,1,0,0,0,0,0
55,0,0,0,0,0,0,0,2,0,0,0,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0,0
62,0,0,0,0,0,0,0,2,0,0,0,0,0
64,0,0,0,0,0,0,1,0,0,0,0,0,0
71,0,0,1,0,0,0,0,1,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,0,0,0,0
82,0,0,0,0,0,0,1,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,1,0,0,0,0,0,0
103,0,1,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,1,0,0,1,1
110,0,0,0,0,0,0,0,2,0,0,0,0,0
118,0,0,0,0,0,0,0,1,0,0,0,0,0
140,0,1,0,0,1,0,0,1,0,0,0,0,0
147,0,1,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,2,0,0,0,0,0
157,0,0,0,0,0,0,0,1,0,0,0,0,0
164,0,0,0,0,0,0,0,2,0,0,0,0,0
178,0,0,1,0,0,0,0,3,0,0,0,0,0
179,0,0,0,0,0,0,0,1,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,1,1,0,1,0,0,0,0,0
195,0,0,1,0,0,0,0,4,0,0,0,0,0
199,0,0,0,0,1,0,0,2,0,0,0,0,0
201,0,0,0,1,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,1,3,0,0,0,0,0,0
213,0,0,0,0,0,0,0,1,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0,0,0,0,0
215,1,0,0,0,0,0,1,0,1,0,0,1,1
221,0,0,0,0,0,0,1,0,0,0,0,0,0
223,0,1,0,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,1,0,0,1,1
225,1,0,0,0,0,0,1,0,1,0,0,1,1
227,1,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,1,1,0,6,0,1,0,0,0
233,0,0,0,0,0,0,1,0,0,0,0,0,0
236,0,0,0,0,1,1,0,4,0,0,0,0,0
237,0,0,0,0,0,0,0,2,0,0,0,0,0
244,0,0,0,0,1,0,0,3,0,0,0,0,0
248,0,2,0,0,1,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,1,0,0,0,0,0
252,0,0,0,0,0,0,0,1,0,0,0,0,0
